OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Cankova;Nestanovanjske stavbe;2008;1
Cankova;Nestanovanjske stavbe;2009;4
Cankova;Nestanovanjske stavbe;2010;1
Cankova;Nestanovanjske stavbe;2011;2
Cankova;Nestanovanjske stavbe;2012;1
Cankova;Nestanovanjske stavbe;2013;3
Cankova;Nestanovanjske stavbe;2014;1
Cankova;Nestanovanjske stavbe;2015;3
Cankova;Nestanovanjske stavbe;2016;7
Cankova;Nestanovanjske stavbe;2017;8
Cankova;Nestanovanjske stavbe;2018;9
Cankova;Nestanovanjske stavbe;2019;9
Cankova;Nestanovanjske stavbe;2020;12
Celje;Stanovanjske stavbe;2007;59
Celje;Stanovanjske stavbe;2008;58
Celje;Stanovanjske stavbe;2009;27
Celje;Stanovanjske stavbe;2010;21
Celje;Stanovanjske stavbe;2011;18
Celje;Stanovanjske stavbe;2012;13
Celje;Stanovanjske stavbe;2013;22
Celje;Stanovanjske stavbe;2014;13
Celje;Stanovanjske stavbe;2015;17
Celje;Stanovanjske stavbe;2016;19
Celje;Stanovanjske stavbe;2017;18
Celje;Stanovanjske stavbe;2018;31
Celje;Stanovanjske stavbe;2019;24
Celje;Stanovanjske stavbe;2020;30
Celje;Nestanovanjske stavbe;2007;21
Celje;Nestanovanjske stavbe;2008;15
Celje;Nestanovanjske stavbe;2009;3
Celje;Nestanovanjske stavbe;2010;1
Celje;Nestanovanjske stavbe;2011;0
Celje;Nestanovanjske stavbe;2012;0
Celje;Nestanovanjske stavbe;2013;2
Celje;Nestanovanjske stavbe;2014;0
Celje;Nestanovanjske stavbe;2015;2
Celje;Nestanovanjske stavbe;2016;29
Celje;Nestanovanjske stavbe;2017;28
Celje;Nestanovanjske stavbe;2018;59
Celje;Nestanovanjske stavbe;2019;56
Celje;Nestanovanjske stavbe;2020;40
Cerklje na Gorenjskem;Stanovanjske stavbe;2007;25
Cerklje na Gorenjskem;Stanovanjske stavbe;2008;32
Cerklje na Gorenjskem;Stanovanjske stavbe;2009;25
Cerklje na Gorenjskem;Stanovanjske stavbe;2010;10
Cerklje na Gorenjskem;Stanovanjske stavbe;2011;12
Cerklje na Gorenjskem;Stanovanjske stavbe;2012;7
Cerklje na Gorenjskem;Stanovanjske stavbe;2013;13
Cerklje na Gorenjskem;Stanovanjske stavbe;2014;7
Cerklje na Gorenjskem;Stanovanjske stavbe;2015;18
Cerklje na Gorenjskem;Stanovanjske stavbe;2016;11
Cerklje na Gorenjskem;Stanovanjske stavbe;2017;20
Cerklje na Gorenjskem;Stanovanjske stavbe;2018;14
